title,company,post_date,date_found,url,platform
General Application,"WithMe, Inc.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/general-application-at-withme-inc-4120605170?position=38&pageNum=0&refId=5hwvmRV%2ByLhjGaeMcrK5mA%3D%3D&trackingId=ma7z3jO9noI4t7QBsghIdg%3D%3D,LinkedIn
Executive Assistant,Sourcebooks,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/executive-assistant-at-sourcebooks-4120604397?position=46&pageNum=0&refId=5hwvmRV%2ByLhjGaeMcrK5mA%3D%3D&trackingId=gAxFPJT5qMJnBGigSM8t6w%3D%3D,LinkedIn
Business Development Sales Executive - Hospitality,"WithMe, Inc.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/business-development-sales-executive-hospitality-at-withme-inc-4120602555?position=47&pageNum=0&refId=5hwvmRV%2ByLhjGaeMcrK5mA%3D%3D&trackingId=pj0HdsXwH8Zd%2FEGKAdStYA%3D%3D,LinkedIn
Part-Time Focus Group Participant $75 - $150 (per 1 hour session),Apex Focus Group,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/part-time-focus-group-participant-%2475-%24150-per-1-hour-session-at-apex-focus-group-4120642854?position=48&pageNum=0&refId=5hwvmRV%2ByLhjGaeMcrK5mA%3D%3D&trackingId=tKz32eoQMs5Azl%2BcbuqgdA%3D%3D,LinkedIn
Product Manager,"Ulbrich Stainless Steels & Special Metals, Inc.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/product-manager-at-ulbrich-stainless-steels-special-metals-inc-4121282013?position=56&pageNum=0&refId=5hwvmRV%2ByLhjGaeMcrK5mA%3D%3D&trackingId=%2FJ84vN7PbUNAbf%2FjgWPBfw%3D%3D,LinkedIn
"Part-time sitter vacancy for two middle schoolers and a dog near Chicago, IL",Wyndy,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/part-time-sitter-vacancy-for-two-middle-schoolers-and-a-dog-near-chicago-il-at-wyndy-4121128918?position=2&pageNum=0&refId=n0dnkKzbmBKNrAnKm7PGkA%3D%3D&trackingId=%2FxWibDSrjZwIfDR%2FCFnFog%3D%3D,LinkedIn
*** ******* ********* - ****** & ********,********,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/smb-account-executive-talent-learning-at-linkedin-4121271544?position=4&pageNum=0&refId=n0dnkKzbmBKNrAnKm7PGkA%3D%3D&trackingId=FQ83IJJNa1GjA9giyIM11Q%3D%3D,LinkedIn
******* ********,*** **********,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/graphic-designer-at-omi-industries-4120959524?position=5&pageNum=0&refId=n0dnkKzbmBKNrAnKm7PGkA%3D%3D&trackingId=E0c1IS2xC4Dmoq3q%2FxMb7w%3D%3D,LinkedIn
SMB Account Executive - Talent & Learning,LinkedIn,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/smb-account-executive-talent-learning-at-linkedin-4121271544?position=2&pageNum=0&refId=KWZtwyBZKqA9NFuiZu7p7w%3D%3D&trackingId=AZwz3WZR8xf9cyzzBOEsow%3D%3D,LinkedIn
******** ****** *********,******,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/personal-talent-assistant-at-hallow-4121274509?position=4&pageNum=0&refId=KWZtwyBZKqA9NFuiZu7p7w%3D%3D&trackingId=%2BeSLA7aOOkUMIghO0aypUA%3D%3D,LinkedIn
"****-**** ****** ******* *** *** ****** ********* *** * *** **** *******, **",*****,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/part-time-sitter-vacancy-for-two-middle-schoolers-and-a-dog-near-chicago-il-at-wyndy-4121128918?position=5&pageNum=0&refId=KWZtwyBZKqA9NFuiZu7p7w%3D%3D&trackingId=0J44%2B68hpi6%2F9oqKbrFX2A%3D%3D,LinkedIn
******* ***********,"******, ***.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/general-application-at-withme-inc-4120605170?position=6&pageNum=0&refId=KWZtwyBZKqA9NFuiZu7p7w%3D%3D&trackingId=tfF0yI9gleWVytSviub26A%3D%3D,LinkedIn
*** ********,***** ************,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/web-designer-at-world-headquarters-4121508779?position=7&pageNum=0&refId=KWZtwyBZKqA9NFuiZu7p7w%3D%3D&trackingId=wRHHwzROD8jlCjSNsLYv%2Fg%3D%3D,LinkedIn
